genre,count
melodic doom,28
black death,28
indie r&b,28
alabama metal,25
deep gothic post-punk,23
calming instrumental,21
abstract beats,21
baroque violin,20
country pop,20
historically informed performance,20
afro dancehall,20
chiptune,20
acoustic guitar cover,20
australian post-hardcore,20
deep uplifting trance,20
deep techno,20
ukrainian electronic,20
groove metal,20
electro,20
greek pop,20
laiko,20
melodic death metal,20
power metal,20
trap soul,20
k-pop girl group,20
vaporwave,20
antiviral pop,20
turkish rock,20
blackened hardcore,20
post-screamo,20
north carolina hip hop,20
ambient pop,20
psychobilly,20
glitch hop,20
deep idm,20
australian metalcore,20
classical baritone,20
early modern classical,20
neoclassicism,20
filmi,20
el paso indie,20
black thrash,20
bass music,20
future garage,20
christian rock,20
christian pop,20
turntablism,20
alternative americana,20
canadian rock,20
israeli singer-songwriter,20
jewish pop,20
judaica,20
bachata,20
praise,20
dark ambient,20
intelligent dance music,20
indietronica,20
cosmic uplifting trance,20
jazz trumpet,20
memphis hip hop,20
electro-industrial,20
complextro,20
southern rock,20
ukrainian experimental,20
bass trap,20
ebm,20
classic soul,20
swedish metal,20
contemporary classical,20
spanish hip hop,20
trap espanol,20
anime score,20
classic uk pop,20
epicore,20
instrumental surf,20
organic house,20
stoner rock,20
russian orchestra,20
dutch pop,20
deep minimal techno,20
melodic deathcore,20
russian ccm,20
industrial metal,20
electro swing,20
german metal,20
nyc rap,20
piano rock,20
progressive psytrance,20
dancehall,20
fallen angel,20
video game music,20
rap cristiano,20
mexican indie,20
grunge,20
dreamgaze,20
atl trap,20
children's music,20
corrido,20
viking metal,20
anarcho-punk,20
crust punk,20
italian electronica,20
neo-psychedelic,20
progressive doom,20
modern blues rock,20
nu disco,20
rap latina,20
italian hip hop,20
beatlesque,20
australian indie,20
classical bass,20
tribal house,20
classical accordion,20
classical piano trio,20
minimal techno,20
french hip hop,20
jazztronica,20
oi,20
deep groove house,20
drone folk,20
tolkien metal,20
celtic metal,20
chillstep,20
modern progressive rock,20
ritual ambient,20
nu-cumbia,20
west coast rap,20
diy emo,20
indie punk,20
midwest emo,20
thrash core,20
hurdy-gurdy,20
christian metal,20
gregorian chant,20
breakbeat,20
late romantic era,20
deep house,20
bow pop,20
microhouse,20
la pop,20
deep progressive house,20
kazakh pop,20
chill out,20
uk metalcore,20
uk post-hardcore,20
jazz boom bap,20
jungle,20
swedish hard rock,20
baroque pop,20
pop urbaine,20
electro trash,20
classical cello,20
goregrind,20
pornogrind,20
dark progressive house,20
j-pixie,20
gospel,20
bay area indie,20
canadian contemporary r&b,20
instrumental funk,20
christian hardcore,20
folk black metal,20
progressive metal,20
brazilian edm,20
space ambient,20
uk pop,20
lo-fi chill,20
australian garage punk,20
historical keyboard,20
azeri pop,20
dub techno,20
deathstep,20
jazz rap,20
nordic folk,20
salsa,20
afropop,20
indonesian indie,20
latin jazz,20
water,20
historic orchestral performance,20
salsa international,20
japanese chillhop,20
memphis blues,20
spanish pop,20
mandopop,20
traditional folk,20
detroit hip hop,20
viola,20
anti-folk,20
garage psych,20
lo-fi,20
rockabilly,20
protopunk,20
pony,20
atmospheric post-rock,20
post-rock,20
choral,20
acoustic blues,20
rawstyle,20
uptempo hardcore,20
meme rap,20
rap dominicano,20
christian relaxative,20
neo-classical,20
classical tenor,20
german orchestra,20
nitzhonot,20
traditional blues,20
power pop,20
punk 'n' roll,20
pagode,20
argentine rock,20
ska argentino,20
canadian electronic,20
nz pop,20
german underground rap,20
dark black metal,20
deep progressive trance,20
canadian metal,19
disney,19
symphonic melodic death metal,19
cavernous death metal,19
uk contemporary r&b,18
voidgrind,18
sci-fi metal,17
indie anthem-folk,17
deep funk,15
focus,15
autonomous black metal,15
contemporary classical piano,13
viking black metal,13
background piano,12
sound,12
belarusian hip hop,11
pagan black metal,11
rap chileno,11
georgian pop,10
belgian black metal,10
bern indie,10
turkish jazz,10
scream rap,10
scorecore,10
tavern,10
anime,10
power thrash,10
battle rap,10
canadian americana,10
shush,10
deep latin alternative,10
oc indie,10
grisly death metal,10
ghoststep,10
glitch,10
norwegian singer-songwriter,10
norwegian rock,10
norwegian indie,10
turkish edm,10
ragga jungle,10
gothabilly,10
texas country,10
kentucky hip hop,10
war metal,10
australian black metal,10
j-idol,10
garage pop,10
musica afroperuana,10
noise rock,10
german techno,10
german hard rock,10
modern reggae,10
afroswing,10
azontobeats,10
nigerian pop,10
anime latino,10
israeli mediterranean,10
israeli pop,10
armenian pop,10
underground rap,10
horror synth,10
duranguense,10
garage rock revival,10
fingerstyle,10
classic israeli pop,10
acid techno,10
minimal dub,10
viral trap,10
nuevo tango,10
tango,10
japanese city pop,10
chill lounge,10
dark jazz,10
binaural,10
technical brutal death metal,10
chicano rap,10
ukrainian classical,10
sufi,10
german pagan metal,10
ukrainian classical piano,10
neue deutsche harte,10
accordion,10
classic soundtrack,10
vintage classical singing,10
classical era,10
jazz quartet,10
trap queen,10
new jersey rap,10
dark cabaret,10
polish techno,10
canadian post-hardcore,10
mallet,10
finnish heavy metal,10
nordic house,10
danish indie pop,10
horror punk,10
jazz drums,10
electro latino,10
latin afrobeat,10
mexican rock,10
cosmic american,10
colombian pop,10
instrumental math rock,10
math pop,10
math rock,10
taraneem,10
classic peruvian pop,10
peruvian rock,10
viral rap,10
aggrotech,10
uk stoner rock,10
halftime dnb,10
minimal dnb,10
yacht rock,10
crunk,10
neue deutsche todeskunst,10
manchester hip hop,10
georgian alternative,10
indian metal,10
technical grindcore,10
rap espanol,10
trap dominicano,10
australian country,10
austrian classical piano,10
death metal,10
salsa colombiana,10
electric blues,10
progressive rock,10
lithuanian electronic,10
speed metal,10
indian instrumental,10
nwothm,10
australian alternative rock,10
australian psych,10
saskatchewan indie,10
viral pop,10
gospel r&b,10
symphonic rock,10
deep indian pop,10
boston hardcore,10
crack rock steady,10
footwork,10
classical guitar,10
classic malaysian pop,10
malay rap,10
malaysian hip hop,10
bachata dominicana,10
west end,10
rock drums,10
german dance,10
boston hip hop,10
indian edm,10
military rap,10
glam rock,10
indie psychedelic rock,10
rock kapak,10
old school dancehall,10
kawaii edm,10
messianic praise,10
scottish metal,10
antideutsche,10
german alternative rap,10
wind quintet,10
melbourne bounce,10
opm,10
gypsy punk,10
broken beat,10
chamber psych,10
albanian pop,10
mod revival,10
minneapolis sound,10
portland indie,10
belgian edm,10
hard techno,10
scandipop,10
swedish indie folk,10
nwobhm,10
fluxwork,10
lo-fi house,10
lounge,10
thall,10
neo r&b,10
lovers rock,10
instrumental rock,10
jazz metal,10
progressive jazz fusion,10
bubblegum dance,10
midwest americana,10
australian metal,10
brutal deathcore,10
swedish eurodance,10
alternative pop rock,10
future bass,10
afro house,10
brill building pop,10
focus beats,10
acid trance,10
dayton indie,10
panamanian pop,10
kentucky indie,10
kentucky roots,10
slowcore,10
bolero,10
cumbia,10
swedish alternative rock,10
rock in opposition,10
trap italiana,10
industrial techno,10
british industrial,10
industrial,10
outlaw country,10
dark electro-industrial,10
bubblegrunge,10
german house,10
estonian hip hop,10
synthwave brasileiro,10
norteno-sax,10
velha guarda,10
pop argentino,10
south african house,10
cleveland metal,10
black metal,10
black speed metal,10
new wave of speed metal,10
bulgarian electronic,10
connecticut hardcore,10
hindustani classical,10
indian classical,10
sitar,10
deep dnb,10
traditional country,10
modern folk rock,10
reggae rock,10
melodic techno,10
beatboxing,10
world chill,10
italo dance,10
dinner jazz,10
mexican classic rock,10
canadian folk,10
psybass,10
ska jazz,10
glitchcore,10
minimal synth,10
classic pakistani pop,10
pakistani pop,10
minnesota hip hop,10
la indie,10
idol rock,10
japanese death metal,10
japanese power metal,10
classic opm,10
french post-rock,10
pinoy indie,10
pinoy rock,10
pirate,10
honky tonk,10
j-poprock,10
american primitive,10
free folk,10
small room,10
dungeon synth,10
ukrainian rock,10
fourth world,10
heavy gothic rock,10
classic country pop,10
shanty,10
country blues,10
jug band,10
old-time,10
classic praise,10
english indie rock,10
canadian electropop,10
grave wave,10
traditional ska,10
bmore,10
portuguese black metal,10
pop folk,10
stomp and flutter,10
swedish synthpop,10
australian hip hop,10
charred death,10
psych gaze,10
pianissimo,10
flamenco guitar,10
moombahton,10
ninja,10
azeri rap,10
new jersey hardcore,10
finnish hardcore,10
trap venezolano,10
latin talent show,10
drone ambient,10
appalachian folk,10
h8000,10
vegan straight edge,10
piano cover,10
canadian classical,10
gamelan,10
sundanese traditional,10
progressive alternative,10
vocal house,10
hands up,10
new weird america,10
post-punk argentina,10
taiwan indie,10
riot grrrl,10
vapor house,10
salsa venezolana,10
spanish new wave,10
chicago blues,10
delta blues,10
new romantic,10
malian blues,10
mande pop,10
world,10
latin metal,10
spanish metal,10
dutch edm,10
greek contemporary classical,10
soundtrack,10
kora,10
